Site_Reference,Site_Name,Location,Court_name
Amersh,Amersham,Amersham,Aylesbury Crown Court
Aylsby,Aylesbury,Aylesbury,Aylesbury Crown Court
Barry,Barry,Barry,Not found
Basild,Basildon,Basildon,Basildon Combined Court
Birmhm,Birmingham,Birmingham,Birmingham Crown Court
BirmCF,Birmingham (Civil and Family),Birmingham,Birmingham Crown Court
Blackf,Blackfriars,Blackfriars,Not found
Bolton,Bolton,Bolton,Bolton Crown Court
Bourne,Bournemouth,Bournemouth,Bournemouth Combined Court
Bradfd,Bradford,Bradford,Bradford Crown Court
Bright,Brighton,Brighton,Not found
Bristl,Bristol,Bristol,Bristol Crown Court
Burnl,Burnley,Burnley,Burnley Crown Court
Caern,Caernarfon,Caernarfon,Mold Justice Centre
Cambri,Cambridge,Cambridge,Cambridge Crown Court
Canter,Canterbury,Canterbury,Canterbury Combined Court
Cardif,Cardiff,Cardiff,Cardiff Crown Court
Carlil,Carlisle,Carlisle,Carlisle Combined Court
Centrl,Central Criminal Court (Old Bailey),London,Central Criminal Court
Chelms,Chelmsford,Chelmsford,Chelmsford Crown Court
Chestr,Chester,Chester,Chester Crown Court
Chich,Chichester,Chichester,Not found
Covent,Coventry,Coventry,Not found
Croydn,Croydon,Croydon,Croydon Crown Court
Derby,Derby,Derby,Derby Combined Court
Doncas,Doncaster,Doncaster,Sheffield Combined Court
Durha,Durham,Durham,Durham Crown Court
DurPol,Durham Police,Durham Police,Durham Crown Court
Exeter,Exeter,Exeter,Exeter Crown Court
Gloucs,Gloucester,Gloucester,Gloucester Crown Court
GtGrim,Great Grimsby,Great Grimsby,Great Grimsby Combined Court
Guildf,Guildford,Guildford,Guildford Crown Court
Harrow,Harrow,Harrow,Harrow Crown Court
HattnX,Hatton Cross London,Hatton Cross,Not found
Herefd,Hereford,Hereford,Hereford Crown Court
Hove,Hove,Hove,Lewes Combined Court
InLond,Inner London,Inner London,Inner London Crown Court
Ipswch,Ipswich,Ipswich,Ipswich Crown Court
Islwth,Isleworth,Isleworth,Isleworth Crown Court
KingsL,Kings Lynn,Kings Lynn,Norwich Combined Court
KingUT,Kingston-U-Thames,Kingston,Kingston-upon-Thames Crown Court
Hull,Kingston-U-Hull,Hull,Kingston-upon-Hull Combined Court
Leeds,Leeds,Leeds,Leeds Combined Court
Leics,Leicester,Leicester,Leicester Crown Court
Lewes,Lewes,Lewes,Lewes Combined Court
Lincln,Lincoln,Lincoln,Lincoln Crown Court
Livrpl,Liverpool,Liverpool,Liverpool Crown Court
LivrCF,Liverpool (Civil and Family),Liverpool,Liverpool Crown Court
LivrY,Liverpool Youth,Liverpool,Liverpool Crown Court
Luton,Luton,Luton,Luton Crown Court
Maidst,Maidstone,Maidstone,Maidstone Combined Court
ManCrn,Manchester Crown Sq,Manchester,Manchester Crown Court
ManMin,Manchester Minshull,Manchester,Manchester Minshull Street Crown Court
Merthy,Merthyr Tydfil,Merthyr Tydfil,Merthyr Tydfil Combined Court
Mold,Mold,Mold,Mold Justice Centre
Newcst,Newcastle,Newcastle,Newcastle upon Tyne Crown Court
Newprt,Newport Gwent,Newport,Newcastle upon Tyne Crown Court
IOW,Newport IOW,Isle of White,Newcastle upon Tyne Crown Court
Norton,Northampton,Northampton,Northampton Combined Court
Norwch,Norwich,Norwich,Norwich Combined Court
Notts,Nottingham,Nottingham,Nottingham Crown Court
Oxford,Oxford,Oxford,Oxford Combined Court
Peterb,Peterborough,Peterborough,Peterborough Combined Court
Plymth,Plymouth,Plymouth,Plymouth Combined Court
Portsm,Portsmouth,Portsmouth,Portsmouth Combined Court
Prestn,Preston,Preston,Preston Combined Court
Readng,Reading,Reading,Reading Crown Court
RCJ,Royal Courts of Justice,London,Not found
Salis,Salisbury,Salisbury,Salisbury Law Courts
Sheffd,Sheffield,Sheffield,Sheffield Combined Court
Shrews,Shrewsbury,Shrewsbury,Shrewsbury Crown Court
Snares,Snaresbrook,Snaresbrook,Snaresbrook Crown Court
Soton,Southampton,Southampton,Southampton Combined Court
Souend,Southend,Southend,Not found
Southk,Southwark,Southwark,Southwark Crown Court
StAlba,St Albans,St Albans,St. Albans Crown Court
Staffs,Stafford,Stafford,Stafford Combined Court
Stoke,Stoke on Trent,Stoke-on-Trent,Stoke-on-Trent Combined Court
Swanse,Swansea,Swansea,Swansea Crown Court
Swindn,Swindon,Swindon,Swindon Combined Court
Tauntn,Taunton Crown & County,Taunton,Taunton Combined Court
Teesde,Teeside,Teeside,Teesside Combined Court
Telford,Telford,Telford,Chelmsford Crown Court
Truro,Truro,Truro,Truro Combined Court
Warton,Warrington,Warrington,Warrington Crown Court
Warwic,Warwick,Warwick,Warwick Combined Court
Warwick,Warwick,Warwick,Warwick Combined Court
Winch,Winchester,Winchester,Winchester Combined Court
Wolver,Wolverhampton,Wolverhampton,Wolverhampton Combined Court
WoodGn,Wood Green,Wood Green,Wood Green Crown Court
WdGn,Wood Green,Wood Green,Wood Green Crown Court
Woolch,Woolwich,Woolwich,Woolwich Crown Court
Worcs,Worcester,Worcester,Worcester Combined Court
York,York,York,York Crown Court